1,10.1177/1743872116654670,https://www.snopes.com/fact-check/single-drop-seawater-magnified/,"Law, Scale, Anti-zooming, and Corporate Short-termism","This article uses “Contact,” an art installation by Olafur Eliasson, and “anti-zoom,” an essay by Bruno Latour to reimagine the problem of corporate short-termism. It investigates what it means to propose, under the gaze of law, that directors and investors look to the “long-term” when pursuing corporate purposes. The article contests that it is possible to zoom, as if using a telescopic lens, between the demands of different time frames. It is only after an extended amount of “contact” that one is able to plot the relation of the short to the long term and make sense of it, a finding that problematizes the corporate self-governance of time. A way forward is imagined that makes the thesis of anti-zoom fit for renovating corporate law.",false
2,10.1128/JVI.00083-21,https://www.snopes.com/fact-check/study-coronavirus-antibodies-deer/,Susceptibility of White-Tailed Deer (Odocoileus virginianus) to SARS-CoV-2,"The origin of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), the virus causing the global coronavirus disease 2019 (COVID-19) pandemic, remains a mystery. Current evidence suggests a likely spillover into humans from an animal reservoir. Understanding the host range and identifying animal species that are susceptible to SARS-CoV-2 infection may help to elucidate the origin of the virus and the mechanisms underlying cross-species transmission to humans. Here, we demonstrated that white-tailed deer (Odocoileus virginianus), an animal species in which the angiotensin-converting enzyme 2 (ACE2)—the SARS-CoV-2 receptor—shares a high degree of similarity to that of humans, are highly susceptible to infection. Intranasal inoculation of deer fawns with SARS-CoV-2 resulted in established subclinical viral infection and shedding of infectious virus in nasal secretions. Notably, infected animals transmitted the virus to noninoculated contact deer. Viral RNA was detected in multiple tissues 21 days postinoculation (p.i.). All inoculated and indirect contact animals seroconverted and developed neutralizing antibodies as early as day 7 p.i. The work provides important insights into the animal host range of SARS-CoV-2 and identifies white-tailed deer as a wild animal species susceptible to the virus.",false
3,10.1007/s13593-017-0452-8,https://www.snopes.com/fact-check/swedish-scientist-cannibalism/,The environmental sustainability of insects as food and feed. A review,"With a growing world population, increasingly demanding consumers, and a limited amount of agricultural land, there is an urgent need to find alternatives to conventional meat products. Livestock production is, moreover, a leading cause of anthropogenic-induced climate change. To mediate this, more sustainable diets are needed, with reduced meat consumption or the use of alternative protein sources. Insects are promoted as human food and animal feed worldwide. In tropical countries, edible insects are harvested from nature, but overexploitation, habitat changes, and environmental contamination threaten this food resource. Therefore, sustainable harvesting practices need to be developed and implemented. We provide examples of (1) aquatic insects whose populations are threatened by pollution, (2) caterpillar species in Africa that are disappearing due to overexploitation and habitat change, (3) edible insects species that are considered pests in agro-ecosystems, and (4) edible insect species that can be conserved and enhanced in forest management systems. Insect farming can be conducted either on small-scale farms or in large-scale industrialized rearing facilities. We review the environmental sustainability of insect farming compared to livestock production. The major environmental advantages of insect farming compared to livestock production are as follows: (1) less land and water is required; (2) greenhouse gas emissions are lower; (3) insects have high feed conversion efficiencies; (4) insects can transform low-value organic by-products into high-quality food or feed; and (5) certain insect species can be used as animal feed or aqua feed. For instance, they can replace fish meal, which is becoming increasingly scarce and expensive. However, edible insect species intended for production should be screened for risks to humans, animals, plants, and biodiversity.",false
4,10.4065/83.1.66,https://www.snopes.com/fact-check/red-bull-bang-drug-tests-meth/,Urine drug screening: practical guide for clinicians,"Drug testing, commonly used in health care, workplace, and criminal settings, has become widespread during the past decade. Urine drug screens have been the most common method for analysis because of ease of sampling. The simplicity of use and access to rapid results have increased demand for and use of immunoassays; however, these assays are not perfect. False-positive results of immunoassays can lead to serious medical or social consequences if results are not confirmed by secondary analysis, such as gas chromatography-mass spectrometry. The Department of Health and Human Services' guidelines for the workplace require testing for the following 5 substances: amphetamines, cannabinoids, cocaine, opiates, and phencyclidine. This article discusses potential false-positive results and false-negative results that occur with immunoassays of these substances and with alcohol, benzodiazepines, and tricyclic antidepressants. Other pitfalls, such as adulteration, substitution, and dilution of urine samples, are discussed. Pragmatic concepts summarized in this article should minimize the potential risks of misinterpreting urine drug screens.",false
5,10.1016/j.biocon.2018.08.014,https://www.snopes.com/fact-check/rio-macaw-extinct/,Which bird species have gone extinct? A novel quantitative classification approach,"Determining whether species have gone extinct requires considering the timing and reliability of records, the timing and adequacy of surveys, and the timing, extent and intensity of threats. However, previous assessments have either applied qualitative approaches or considered only the first of these factors. We applied quantitative methods encompassing all three factors to a suite of 61 potentially or confirmed extinct species of birds. We tested six different methods, each with a range of thresholds, for assigning species to IUCN Red List Categories, and compared the results with species' current categories. We recommend that if both the probability that a species remains extant based on threats and the probability based on records and surveys fall below 0.5, it should qualify as Critically Endangered (Possibly Extinct), while if both probabilities fall below 0.1 it should qualify as Extinct. This novel approach resulted in an 80% match with the current IUCN Red List classification of species. The exceptions largely reflect species whose reclassification was pending the outcome of this work. Consequently, we recommend that nine species are reclassified on the IUCN Red List, with cryptic treehunter (Cichlocolaptes mazarbarnetti), Alagoas foliage-gleaner (Philydor novaesi) poo-uli (Melamprosops phaeosoma) now qualifying as Extinct. We estimate a revised total of 187 extinctions since 1500, of which 90% have been of insular species. The major drivers were invasive alien species (46%) and hunting/trapping (26%). Application of this approach in non-avian groups would increase the robustness of extinction rate estimates and species' classifications on the IUCN Red List.",false
6,10.1177/2045125312436573,https://www.snopes.com/fact-check/sniffing-rosemary/,"Plasma 1,8-cineole correlates with cognitive performance following exposure to rosemary essential oil aroma","The mode of influence of the aromas of plant essential oils on human behaviour is largely unclear. This study was designed to assess the potential pharmacological relationships between absorbed 1,8-cineole following exposure to rosemary aroma, cognitive performance and mood.",false
7,10.1126/science.1151540,https://www.snopes.com/fact-check/do-rocks-contribute-sea-rise/,Long-Term Sea-Level Fluctuations Driven by Ocean Basin Dynamics,"Earth's long-term sea-level history is characterized by widespread continental flooding in the Cretaceous period (∼145 to 65 million years ago), followed by gradual regression of inland seas. However, published estimates of the Late Cretaceous sea-level high differ by half an order of magnitude, from ∼40 to ∼250 meters above the present level. The low estimate is based on the stratigraphy of the New Jersey margin. By assimilating marine geophysical data into reconstructions of ancient ocean basins, we model a Late Cretaceous sea level that is 170 (85 to 270) meters higher than it is today. We use a mantle convection model to suggest that New Jersey subsided by 105 to 180 meters in the past 70 million years because of North America's westward passage over the subducted Farallon plate. This mechanism reconciles New Jersey margin–based sea-level estimates with ocean basin reconstructions.",false
8,10.1098/rstb.2010.0300,https://www.snopes.com/fact-check/does-body-replace-itself-seven-years/,The ageing lens and cataract: a model of normal and pathological ageing,"Cataract is a visible opacity in the lens substance, which, when located on the visual axis, leads to visual loss. Age-related cataract is a cause of blindness on a global scale involving genetic and environmental influences. With ageing, lens proteins undergo non-enzymatic, post-translational modification and the accumulation of fluorescent chromophores, increasing susceptibility to oxidation and cross-linking and increased light-scatter. Because the human lens grows throughout life, the lens core is exposed for a longer period to such influences and the risk of oxidative damage increases in the fourth decade when a barrier to the transport of glutathione forms around the lens nucleus. Consequently, as the lens ages, its transparency falls and the nucleus becomes more rigid, resisting the change in shape necessary for accommodation. This is the basis of presbyopia. In some individuals, the steady accumulation of chromophores and complex, insoluble crystallin aggregates in the lens nucleus leads to the formation of a brown nuclear cataract. The process is homogeneous and the affected lens fibres retain their gross morphology. Cortical opacities are due to changes in membrane permeability and enzyme function and shear-stress damage to lens fibres with continued accommodative effort. Unlike nuclear cataract, progression is intermittent, stepwise and non-uniform.",false
9,10.1073/pnas.0810957105,https://www.snopes.com/fact-check/dogs-jealousy-study/,The absence of reward induces inequity aversion in dogs,"One crucial element for the evolution of cooperation may be the sensitivity to others' efforts and payoffs compared with one's own costs and gains. Inequity aversion is thought to be the driving force behind unselfish motivated punishment in humans constituting a powerful device for the enforcement of cooperation. Recent research indicates that non-human primates refuse to participate in cooperative problem-solving tasks if they witness a conspecific obtaining a more attractive reward for the same effort. However, little is known about non-primate species, although inequity aversion may also be expected in other cooperative species. Here, we investigated whether domestic dogs show sensitivity toward the inequity of rewards received for giving the paw to an experimenter on command in pairs of dogs. We found differences in dogs tested without food reward in the presence of a rewarded partner compared with both a baseline condition (both partners rewarded) and an asocial control situation (no reward, no partner), indicating that the presence of a rewarded partner matters. Furthermore, we showed that it was not the presence of the second dog but the fact that the partner received the food that was responsible for the change in the subjects' behavior. In contrast to primate studies, dogs did not react to differences in the quality of food or effort. Our results suggest that species other than primates show at least a primitive version of inequity aversion, which may be a precursor of a more sophisticated sensitivity to efforts and payoffs of joint interactions.",false
10,10.1111/j.1469-185X.2011.00203.x,https://www.snopes.com/fact-check/will-eating-alligator-save-wetlands/,Top predators as biodiversity regulators: the dingo Canis lupus dingo as a case study,"Top-order predators often have positive effects on biological diversity owing to their key functional roles in regulating trophic cascades and other ecological processes. Their loss has been identified as a major factor contributing to the decline of biodiversity in both aquatic and terrestrial systems. Consequently, restoring and maintaining the ecological function of top predators is a critical global imperative. Here we review studies of the ecological effects of the dingo Canis lupus dingo, Australia's largest land predator, using this as a case study to explore the influence of a top predator on biodiversity at a continental scale. The dingo was introduced to Australia by people at least 3500 years ago and has an ambiguous status owing to its brief history on the continent, its adverse impacts on livestock production and its role as an ecosystem architect. A large body of research now indicates that dingoes regulate ecological cascades, particularly in arid Australia, and that the removal of dingoes results in an increase in the abundances and impacts of herbivores and invasive mesopredators, most notably the red fox Vulpes vulpes. The loss of dingoes has been linked to widespread losses of small and medium-sized native mammals, the depletion of plant biomass due to the effects of irrupting herbivore populations and increased predation rates by red foxes. We outline a suite of conceptual models to describe the effects of dingoes on vertebrate populations across different Australian environments. Finally, we discuss key issues that require consideration or warrant research before the ecological effects of dingoes can be incorporated formally into biodiversity conservation programs.",false
