claimid,claim,doi,link,abstitle,abssentid,abssent,labels,
1,A photograph shows microplankton and other organisms found in a single drop of seawater magnified 25 times.,10.1177/1743872116654670,https://www.snopes.com/fact-check/single-drop-seawater-magnified/,"Law, Scale, Anti-zooming, and Corporate Short-termism",1,"This article uses “Contact,” an art installation by Olafur Eliasson, and “anti-zoom,” an essay by Bruno Latour to reimagine the problem of corporate short-termism.",N, 
1,A photograph shows microplankton and other organisms found in a single drop of seawater magnified 25 times.,10.1177/1743872116654670,https://www.snopes.com/fact-check/single-drop-seawater-magnified/,"Law, Scale, Anti-zooming, and Corporate Short-termism",2,"It investigates what it means to propose, under the gaze of law, that directors and investors look to the “long-term” when pursuing corporate purposes.",N, 
1,A photograph shows microplankton and other organisms found in a single drop of seawater magnified 25 times.,10.1177/1743872116654670,https://www.snopes.com/fact-check/single-drop-seawater-magnified/,"Law, Scale, Anti-zooming, and Corporate Short-termism",3,"The article contests that it is possible to zoom, as if using a telescopic lens, between the demands of different time frames.",N, 
1,A photograph shows microplankton and other organisms found in a single drop of seawater magnified 25 times.,10.1177/1743872116654670,https://www.snopes.com/fact-check/single-drop-seawater-magnified/,"Law, Scale, Anti-zooming, and Corporate Short-termism",4,"It is only after an extended amount of “contact” that one is able to plot the relation of the short to the long term and make sense of it, a finding that problematizes the corporate self-governance of time.",N, 
1,A photograph shows microplankton and other organisms found in a single drop of seawater magnified 25 times.,10.1177/1743872116654670,https://www.snopes.com/fact-check/single-drop-seawater-magnified/,"Law, Scale, Anti-zooming, and Corporate Short-termism",5,A way forward is imagined that makes the thesis of anti-zoom fit for renovating corporate law.,N, 
2,Populations of wild deer across North America have tested positive for SARS-CoV-2 antibodies.,10.1128/JVI.00083-21,https://www.snopes.com/fact-check/study-coronavirus-antibodies-deer/,Susceptibility of White-Tailed Deer (Odocoileus virginianus) to SARS-CoV-2,1,"The origin of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), the virus causing the global coronavirus disease 2019 (COVID-19) pandemic, remains a mystery.",N, 
2,Populations of wild deer across North America have tested positive for SARS-CoV-2 antibodies.,10.1128/JVI.00083-21,https://www.snopes.com/fact-check/study-coronavirus-antibodies-deer/,Susceptibility of White-Tailed Deer (Odocoileus virginianus) to SARS-CoV-2,2,Current evidence suggests a likely spillover into humans from an animal reservoir.,N, 
2,Populations of wild deer across North America have tested positive for SARS-CoV-2 antibodies.,10.1128/JVI.00083-21,https://www.snopes.com/fact-check/study-coronavirus-antibodies-deer/,Susceptibility of White-Tailed Deer (Odocoileus virginianus) to SARS-CoV-2,3,Understanding the host range and identifying animal species that are susceptible to SARS-CoV-2 infection may help to elucidate the origin of the virus and the mechanisms underlying cross-species transmission to humans.,N, 
2,Populations of wild deer across North America have tested positive for SARS-CoV-2 antibodies.,10.1128/JVI.00083-21,https://www.snopes.com/fact-check/study-coronavirus-antibodies-deer/,Susceptibility of White-Tailed Deer (Odocoileus virginianus) to SARS-CoV-2,4,"Here, we demonstrated that white-tailed deer (Odocoileus virginianus), an animal species in which the angiotensin-converting enzyme 2 (ACE2)—the SARS-CoV-2 receptor—shares a high degree of similarity to that of humans, are highly susceptible to infection.",S, 
2,Populations of wild deer across North America have tested positive for SARS-CoV-2 antibodies.,10.1128/JVI.00083-21,https://www.snopes.com/fact-check/study-coronavirus-antibodies-deer/,Susceptibility of White-Tailed Deer (Odocoileus virginianus) to SARS-CoV-2,5,Intranasal inoculation of deer fawns with SARS-CoV-2 resulted in established subclinical viral infection and shedding of infectious virus in nasal secretions.,S, 
2,Populations of wild deer across North America have tested positive for SARS-CoV-2 antibodies.,10.1128/JVI.00083-21,https://www.snopes.com/fact-check/study-coronavirus-antibodies-deer/,Susceptibility of White-Tailed Deer (Odocoileus virginianus) to SARS-CoV-2,6,"Notably, infected animals transmitted the virus to noninoculated contact deer.",S, 
2,Populations of wild deer across North America have tested positive for SARS-CoV-2 antibodies.,10.1128/JVI.00083-21,https://www.snopes.com/fact-check/study-coronavirus-antibodies-deer/,Susceptibility of White-Tailed Deer (Odocoileus virginianus) to SARS-CoV-2,7,Viral RNA was detected in multiple tissues 21 days postinoculation (p.i.).,S, 
2,Populations of wild deer across North America have tested positive for SARS-CoV-2 antibodies.,10.1128/JVI.00083-21,https://www.snopes.com/fact-check/study-coronavirus-antibodies-deer/,Susceptibility of White-Tailed Deer (Odocoileus virginianus) to SARS-CoV-2,8,All inoculated and indirect contact animals seroconverted and developed neutralizing antibodies as early as day 7 p.i.,S, 
2,Populations of wild deer across North America have tested positive for SARS-CoV-2 antibodies.,10.1128/JVI.00083-21,https://www.snopes.com/fact-check/study-coronavirus-antibodies-deer/,Susceptibility of White-Tailed Deer (Odocoileus virginianus) to SARS-CoV-2,9,The work provides important insights into the animal host range of SARS-CoV-2 and identifies white-tailed deer as a wild animal species susceptible to the virus.,S, 
3,"Magnus Söderlund proposed or advocated eating human flesh as a solution to climate change in remarks he made on Sept. 3, 2019.",10.1007/s13593-017-0452-8,https://www.snopes.com/fact-check/swedish-scientist-cannibalism/,The environmental sustainability of insects as food and feed. A review,1,"With a growing world population, increasingly demanding consumers, and a limited amount of agricultural land, there is an urgent need to find alternatives to conventional meat products.",S, 
3,"Magnus Söderlund proposed or advocated eating human flesh as a solution to climate change in remarks he made on Sept. 3, 2019.",10.1007/s13593-017-0452-8,https://www.snopes.com/fact-check/swedish-scientist-cannibalism/,The environmental sustainability of insects as food and feed. A review,2,"Livestock production is, moreover, a leading cause of anthropogenic-induced climate change.",S, 
3,"Magnus Söderlund proposed or advocated eating human flesh as a solution to climate change in remarks he made on Sept. 3, 2019.",10.1007/s13593-017-0452-8,https://www.snopes.com/fact-check/swedish-scientist-cannibalism/,The environmental sustainability of insects as food and feed. A review,3,"To mediate this, more sustainable diets are needed, with reduced meat consumption or the use of alternative protein sources.",R, 
3,"Magnus Söderlund proposed or advocated eating human flesh as a solution to climate change in remarks he made on Sept. 3, 2019.",10.1007/s13593-017-0452-8,https://www.snopes.com/fact-check/swedish-scientist-cannibalism/,The environmental sustainability of insects as food and feed. A review,4,Insects are promoted as human food and animal feed worldwide.,R, 
3,"Magnus Söderlund proposed or advocated eating human flesh as a solution to climate change in remarks he made on Sept. 3, 2019.",10.1007/s13593-017-0452-8,https://www.snopes.com/fact-check/swedish-scientist-cannibalism/,The environmental sustainability of insects as food and feed. A review,5,"In tropical countries, edible insects are harvested from nature, but overexploitation, habitat changes, and environmental contamination threaten this food resource.",N, 
3,"Magnus Söderlund proposed or advocated eating human flesh as a solution to climate change in remarks he made on Sept. 3, 2019.",10.1007/s13593-017-0452-8,https://www.snopes.com/fact-check/swedish-scientist-cannibalism/,The environmental sustainability of insects as food and feed. A review,6,"Therefore, sustainable harvesting practices need to be developed and implemented.",N, 
3,"Magnus Söderlund proposed or advocated eating human flesh as a solution to climate change in remarks he made on Sept. 3, 2019.",10.1007/s13593-017-0452-8,https://www.snopes.com/fact-check/swedish-scientist-cannibalism/,The environmental sustainability of insects as food and feed. A review,7,"We provide examples of (1) aquatic insects whose populations are threatened by pollution, (2) caterpillar species in Africa that are disappearing due to overexploitation and habitat change, (3) edible insects species that are considered pests in agro-ecosystems, and (4) edible insect species that can be conserved and enhanced in forest management systems.",N, 
3,"Magnus Söderlund proposed or advocated eating human flesh as a solution to climate change in remarks he made on Sept. 3, 2019.",10.1007/s13593-017-0452-8,https://www.snopes.com/fact-check/swedish-scientist-cannibalism/,The environmental sustainability of insects as food and feed. A review,8,Insect farming can be conducted either on small-scale farms or in large-scale industrialized rearing facilities.,N, 
3,"Magnus Söderlund proposed or advocated eating human flesh as a solution to climate change in remarks he made on Sept. 3, 2019.",10.1007/s13593-017-0452-8,https://www.snopes.com/fact-check/swedish-scientist-cannibalism/,The environmental sustainability of insects as food and feed. A review,9,We review the environmental sustainability of insect farming compared to livestock production.,N, 
3,"Magnus Söderlund proposed or advocated eating human flesh as a solution to climate change in remarks he made on Sept. 3, 2019.",10.1007/s13593-017-0452-8,https://www.snopes.com/fact-check/swedish-scientist-cannibalism/,The environmental sustainability of insects as food and feed. A review,10,The major environmental advantages of insect farming compared to livestock production are as follows: (1) less land and water is required; (2) greenhouse gas emissions are lower; (3) insects have high feed conversion efficiencies; (4) insects can transform low-value organic by-products into high-quality food or feed; and (5) certain insect species can be used as animal feed or aqua feed.,R, 
3,"Magnus Söderlund proposed or advocated eating human flesh as a solution to climate change in remarks he made on Sept. 3, 2019.",10.1007/s13593-017-0452-8,https://www.snopes.com/fact-check/swedish-scientist-cannibalism/,The environmental sustainability of insects as food and feed. A review,11,"For instance, they can replace fish meal, which is becoming increasingly scarce and expensive.",N, 
3,"Magnus Söderlund proposed or advocated eating human flesh as a solution to climate change in remarks he made on Sept. 3, 2019.",10.1007/s13593-017-0452-8,https://www.snopes.com/fact-check/swedish-scientist-cannibalism/,The environmental sustainability of insects as food and feed. A review,12,"However, edible insect species intended for production should be screened for risks to humans, animals, plants, and biodiversity.",N, 
4,Red Bull and Bang energy drinks test positive for various illicit or prescription drugs in substance or urine tests,10.4065/83.1.66,https://www.snopes.com/fact-check/red-bull-bang-drug-tests-meth/,Urine drug screening: practical guide for clinicians,1,"Drug testing, commonly used in health care, workplace, and criminal settings, has become widespread during the past decade.",N, 
4,Red Bull and Bang energy drinks test positive for various illicit or prescription drugs in substance or urine tests,10.4065/83.1.66,https://www.snopes.com/fact-check/red-bull-bang-drug-tests-meth/,Urine drug screening: practical guide for clinicians,2,Urine drug screens have been the most common method for analysis because of ease of sampling.,N, 
4,Red Bull and Bang energy drinks test positive for various illicit or prescription drugs in substance or urine tests,10.4065/83.1.66,https://www.snopes.com/fact-check/red-bull-bang-drug-tests-meth/,Urine drug screening: practical guide for clinicians,3,"The simplicity of use and access to rapid results have increased demand for and use of immunoassays; however, these assays are not perfect.",N, 
4,Red Bull and Bang energy drinks test positive for various illicit or prescription drugs in substance or urine tests,10.4065/83.1.66,https://www.snopes.com/fact-check/red-bull-bang-drug-tests-meth/,Urine drug screening: practical guide for clinicians,4,"False-positive results of immunoassays can lead to serious medical or social consequences if results are not confirmed by secondary analysis, such as gas chromatography-mass spectrometry.",N, 
4,Red Bull and Bang energy drinks test positive for various illicit or prescription drugs in substance or urine tests,10.4065/83.1.66,https://www.snopes.com/fact-check/red-bull-bang-drug-tests-meth/,Urine drug screening: practical guide for clinicians,5,"The Department of Health and Human Services' guidelines for the workplace require testing for the following 5 substances: amphetamines, cannabinoids, cocaine, opiates, and phencyclidine.",N, 
4,Red Bull and Bang energy drinks test positive for various illicit or prescription drugs in substance or urine tests,10.4065/83.1.66,https://www.snopes.com/fact-check/red-bull-bang-drug-tests-meth/,Urine drug screening: practical guide for clinicians,6,"This article discusses potential false-positive results and false-negative results that occur with immunoassays of these substances and with alcohol, benzodiazepines, and tricyclic antidepressants.",N, 
4,Red Bull and Bang energy drinks test positive for various illicit or prescription drugs in substance or urine tests,10.4065/83.1.66,https://www.snopes.com/fact-check/red-bull-bang-drug-tests-meth/,Urine drug screening: practical guide for clinicians,7,"Other pitfalls, such as adulteration, substitution, and dilution of urine samples, are discussed.",N, 
4,Red Bull and Bang energy drinks test positive for various illicit or prescription drugs in substance or urine tests,10.4065/83.1.66,https://www.snopes.com/fact-check/red-bull-bang-drug-tests-meth/,Urine drug screening: practical guide for clinicians,8,Pragmatic concepts summarized in this article should minimize the potential risks of misinterpreting urine drug screens.,N, 
5,The macaw species from the “Rio” movies has been declared extinct in the wild.,10.1016/j.biocon.2018.08.014,https://www.snopes.com/fact-check/rio-macaw-extinct/,Which bird species have gone extinct? A novel quantitative classification approach,1,"Determining whether species have gone extinct requires considering the timing and reliability of records, the timing and adequacy of surveys, and the timing, extent and intensity of threats.",N, 
5,The macaw species from the “Rio” movies has been declared extinct in the wild.,10.1016/j.biocon.2018.08.014,https://www.snopes.com/fact-check/rio-macaw-extinct/,Which bird species have gone extinct? A novel quantitative classification approach,2,"However, previous assessments have either applied qualitative approaches or considered only the first of these factors.",N, 
5,The macaw species from the “Rio” movies has been declared extinct in the wild.,10.1016/j.biocon.2018.08.014,https://www.snopes.com/fact-check/rio-macaw-extinct/,Which bird species have gone extinct? A novel quantitative classification approach,3,We applied quantitative methods encompassing all three factors to a suite of 61 potentially or confirmed extinct species of birds.,N, 
5,The macaw species from the “Rio” movies has been declared extinct in the wild.,10.1016/j.biocon.2018.08.014,https://www.snopes.com/fact-check/rio-macaw-extinct/,Which bird species have gone extinct? A novel quantitative classification approach,4,"We tested six different methods, each with a range of thresholds, for assigning species to IUCN Red List Categories, and compared the results with species' current categories.",N, 
5,The macaw species from the “Rio” movies has been declared extinct in the wild.,10.1016/j.biocon.2018.08.014,https://www.snopes.com/fact-check/rio-macaw-extinct/,Which bird species have gone extinct? A novel quantitative classification approach,5,"We recommend that if both the probability that a species remains extant based on threats and the probability based on records and surveys fall below 0.5, it should qualify as Critically Endangered (Possibly Extinct), while if both probabilities fall below 0.1 it should qualify as Extinct.",N, 
5,The macaw species from the “Rio” movies has been declared extinct in the wild.,10.1016/j.biocon.2018.08.014,https://www.snopes.com/fact-check/rio-macaw-extinct/,Which bird species have gone extinct? A novel quantitative classification approach,6,This novel approach resulted in an 80% match with the current IUCN Red List classification of species.,N, 
5,The macaw species from the “Rio” movies has been declared extinct in the wild.,10.1016/j.biocon.2018.08.014,https://www.snopes.com/fact-check/rio-macaw-extinct/,Which bird species have gone extinct? A novel quantitative classification approach,7,The exceptions largely reflect species whose reclassification was pending the outcome of this work.,N, 
5,The macaw species from the “Rio” movies has been declared extinct in the wild.,10.1016/j.biocon.2018.08.014,https://www.snopes.com/fact-check/rio-macaw-extinct/,Which bird species have gone extinct? A novel quantitative classification approach,8,"Consequently, we recommend that nine species are reclassified on the IUCN Red List, with cryptic treehunter (Cichlocolaptes mazarbarnetti), Alagoas foliage-gleaner (Philydor novaesi) poo-uli (Melamprosops phaeosoma) now qualifying as Extinct.",N, 
5,The macaw species from the “Rio” movies has been declared extinct in the wild.,10.1016/j.biocon.2018.08.014,https://www.snopes.com/fact-check/rio-macaw-extinct/,Which bird species have gone extinct? A novel quantitative classification approach,9,"We estimate a revised total of 187 extinctions since 1500, of which 90% have been of insular species.",N, 
5,The macaw species from the “Rio” movies has been declared extinct in the wild.,10.1016/j.biocon.2018.08.014,https://www.snopes.com/fact-check/rio-macaw-extinct/,Which bird species have gone extinct? A novel quantitative classification approach,10,The major drivers were invasive alien species (46%) and hunting/trapping (26%).,N, 
5,The macaw species from the “Rio” movies has been declared extinct in the wild.,10.1016/j.biocon.2018.08.014,https://www.snopes.com/fact-check/rio-macaw-extinct/,Which bird species have gone extinct? A novel quantitative classification approach,11,Application of this approach in non-avian groups would increase the robustness of extinction rate estimates and species' classifications on the IUCN Red List.,N, 
6,Sniffing rosemary increases human memory by up to 75 percent.,10.1177/2045125312436573,https://www.snopes.com/fact-check/sniffing-rosemary/,"Plasma 1,8-cineole correlates with cognitive performance following exposure to rosemary essential oil aroma",1,The mode of influence of the aromas of plant essential oils on human behaviour is largely unclear.,R, 
6,Sniffing rosemary increases human memory by up to 75 percent.,10.1177/2045125312436573,https://www.snopes.com/fact-check/sniffing-rosemary/,"Plasma 1,8-cineole correlates with cognitive performance following exposure to rosemary essential oil aroma",2,"This study was designed to assess the potential pharmacological relationships between absorbed 1,8-cineole following exposure to rosemary aroma, cognitive performance and mood.",N, 
7,"""Rocks falling into the ocean"" is a factor that contributes to observable sea level rise on human time scales.",10.1126/science.1151540,https://www.snopes.com/fact-check/do-rocks-contribute-sea-rise/,Long-Term Sea-Level Fluctuations Driven by Ocean Basin Dynamics,1,"Earth's long-term sea-level history is characterized by widespread continental flooding in the Cretaceous period (∼145 to 65 million years ago), followed by gradual regression of inland seas.",N, 
7,"""Rocks falling into the ocean"" is a factor that contributes to observable sea level rise on human time scales.",10.1126/science.1151540,https://www.snopes.com/fact-check/do-rocks-contribute-sea-rise/,Long-Term Sea-Level Fluctuations Driven by Ocean Basin Dynamics,2,"However, published estimates of the Late Cretaceous sea-level high differ by half an order of magnitude, from ∼40 to ∼250 meters above the present level.",N, 
7,"""Rocks falling into the ocean"" is a factor that contributes to observable sea level rise on human time scales.",10.1126/science.1151540,https://www.snopes.com/fact-check/do-rocks-contribute-sea-rise/,Long-Term Sea-Level Fluctuations Driven by Ocean Basin Dynamics,3,The low estimate is based on the stratigraphy of the New Jersey margin.,N, 
7,"""Rocks falling into the ocean"" is a factor that contributes to observable sea level rise on human time scales.",10.1126/science.1151540,https://www.snopes.com/fact-check/do-rocks-contribute-sea-rise/,Long-Term Sea-Level Fluctuations Driven by Ocean Basin Dynamics,4,"By assimilating marine geophysical data into reconstructions of ancient ocean basins, we model a Late Cretaceous sea level that is 170 (85 to 270) meters higher than it is today.",N, 
